"";"gene_id";"gene_type"
"1";"ENSG00000223972.4";"pseudogene"
"22";"ENSG00000227232.4";"pseudogene"
"83";"ENSG00000243485.2";"lincRNA"
"93";"ENSG00000237613.2";"lincRNA"
"101";"ENSG00000268020.2";"pseudogene"
"107";"ENSG00000240361.1";"pseudogene"
"110";"ENSG00000186092.4";"protein_coding"
"117";"ENSG00000238009.2";"lincRNA"
"135";"ENSG00000239945.1";"lincRNA"
"139";"ENSG00000233750.3";"pseudogene"
"142";"ENSG00000237683.5";"protein_coding"
"151";"ENSG00000268903.1";"pseudogene"
"154";"ENSG00000269981.1";"pseudogene"
"157";"ENSG00000239906.1";"antisense"
"161";"ENSG00000241860.2";"processed_transcript"
"182";"ENSG00000222623.1";"snRNA"
"185";"ENSG00000241599.1";"lincRNA"
"189";"ENSG00000228463.4";"lincRNA"
"205";"ENSG00000241670.2";"pseudogene"
"210";"ENSG00000237094.7";"lincRNA"
"267";"ENSG00000250575.1";"pseudogene"
"271";"ENSG00000233653.3";"pseudogene"
"275";"ENSG00000224813.2";"pseudogene"
"278";"ENSG00000235249.1";"protein_coding"
"286";"ENSG00000269732.1";"pseudogene"
"289";"ENSG00000256186.1";"pseudogene"
"293";"ENSG00000236601.1";"lincRNA"
"300";"ENSG00000236743.1";"lincRNA"
"305";"ENSG00000236679.2";"pseudogene"
"308";"ENSG00000231709.1";"lincRNA"
"313";"ENSG00000235146.2";"lincRNA"
"320";"ENSG00000239664.2";"lincRNA"
"327";"ENSG00000230021.3";"lincRNA"
"346";"ENSG00000223659.1";"lincRNA"
"351";"ENSG00000225972.1";"pseudogene"
"354";"ENSG00000225630.1";"pseudogene"
"357";"ENSG00000237973.1";"pseudogene"
"360";"ENSG00000229344.1";"pseudogene"
"363";"ENSG00000240409.1";"pseudogene"
"366";"ENSG00000248527.1";"pseudogene"
"369";"ENSG00000198744.5";"pseudogene"
"372";"ENSG00000268663.1";"pseudogene"
"375";"ENSG00000185097.2";"protein_coding"
"383";"ENSG00000229376.3";"pseudogene"
"387";"ENSG00000224956.5";"pseudogene"
"391";"ENSG00000235373.1";"lincRNA"
"395";"ENSG00000223181.1";"snRNA"
"398";"ENSG00000240618.1";"lincRNA"
"402";"ENSG00000229905.1";"antisense"
"406";"ENSG00000228327.2";"lincRNA"
"415";"ENSG00000237491.4";"lincRNA"
"501";"ENSG00000230092.3";"pseudogene"
"512";"ENSG00000269831.1";"protein_coding"
"520";"ENSG00000240453.1";"processed_transcript"
"524";"ENSG00000177757.1";"lincRNA"
"528";"ENSG00000225880.4";"lincRNA"
"533";"ENSG00000228794.4";"processed_transcript"
"590";"ENSG00000230368.2";"lincRNA"
"604";"ENSG00000234711.1";"pseudogene"
"607";"ENSG00000269308.1";"protein_coding"
"617";"ENSG00000272438.1";"lincRNA"
"621";"ENSG00000230699.2";"lincRNA"
"625";"ENSG00000241180.1";"lincRNA"
"629";"ENSG00000223764.2";"lincRNA"
"640";"ENSG00000187634.6";"protein_coding"
"763";"ENSG00000268179.1";"protein_coding"
"778";"ENSG00000188976.6";"protein_coding"
"860";"ENSG00000187961.9";"protein_coding"
"911";"ENSG00000187583.6";"protein_coding"
"1036";"ENSG00000187642.5";"protein_coding"
"1069";"ENSG00000272512.1";"lincRNA"
"1072";"ENSG00000188290.6";"protein_coding"
"1111";"ENSG00000231702.2";"pseudogene"
"1114";"ENSG00000224969.1";"antisense"
"1118";"ENSG00000187608.5";"protein_coding"
"1128";"ENSG00000188157.9";"protein_coding"
"1252";"ENSG00000242590.1";"sense_intronic"
"1256";"ENSG00000217801.5";"pseudogene"
"1286";"ENSG00000273443.1";"lincRNA"
"1290";"ENSG00000237330.2";"protein_coding"
"1300";"ENSG00000131591.13";"protein_coding"
"1694";"ENSG00000223823.1";"lincRNA"
"1699";"ENSG00000207730.1";"miRNA"
"1702";"ENSG00000207607.1";"miRNA"
"1705";"ENSG00000198976.1";"miRNA"
"1708";"ENSG00000272141.1";"lincRNA"
"1711";"ENSG00000205231.1";"antisense"
"1715";"ENSG00000162571.9";"protein_coding"
"1838";"ENSG00000186891.9";"protein_coding"
"1893";"ENSG00000186827.6";"protein_coding"
"1924";"ENSG00000078808.12";"protein_coding"
"2019";"ENSG00000176022.3";"protein_coding"
"2027";"ENSG00000184163.3";"protein_coding"
"2063";"ENSG00000260179.1";"lincRNA"
"2066";"ENSG00000160087.16";"protein_coding"
"2376";"ENSG00000230415.1";"lincRNA"
"2384";"ENSG00000162572.15";"protein_coding"
"2599";"ENSG00000131584.14";"protein_coding"
"2806";"ENSG00000169972.7";"protein_coding"
"2858";"ENSG00000127054.14";"protein_coding"
"3624";"ENSG00000240731.1";"sense_intronic"
"3628";"ENSG00000224051.2";"protein_coding"
"3652";"ENSG00000169962.4";"protein_coding"
